timestamp,customer_id,region,customer_type,temperature_C,humidity,day_of_week,is_weekend,is_holiday,consumption_kwh
2025-07-01 00:00:00,CUST_001,South,Residential,26.48,55,Tuesday,0,0,0.82
2025-07-01 01:00:00,CUST_001,South,Residential,21.05,54,Tuesday,0,0,0.687
2025-07-01 02:00:00,CUST_001,South,Residential,28.63,52,Tuesday,0,0,0.872
2025-07-01 03:00:00,CUST_001,South,Residential,25.28,58,Tuesday,0,0,0.937
2025-07-01 04:00:00,CUST_001,South,Residential,25.57,59,Tuesday,0,0,1.15
2025-07-01 05:00:00,CUST_001,South,Residential,24.69,68,Tuesday,0,0,1.483
2025-07-01 06:00:00,CUST_001,South,Residential,24.69,74,Tuesday,0,0,1.89
2025-07-01 07:00:00,CUST_001,South,Residential,24.7,58,Tuesday,0,0,2.119
2025-07-01 08:00:00,CUST_001,South,Residential,26.65,66,Tuesday,0,0,1.684
2025-07-01 09:00:00,CUST_001,South,Residential,27.38,77,Tuesday,0,0,1.471
2025-07-01 10:00:00,CUST_001,South,Residential,24.7,67,Tuesday,0,0,1.115
2025-07-01 11:00:00,CUST_001,South,Residential,25.2,75,Tuesday,0,0,0.899
2025-07-01 12:00:00,CUST_001,South,Residential,23.53,70,Tuesday,0,0,0.763
2025-07-01 13:00:00,CUST_001,South,Residential,23.36,63,Tuesday,0,0,0.775
2025-07-01 14:00:00,CUST_001,South,Residential,25.82,71,Tuesday,0,0,0.925
2025-07-01 15:00:00,CUST_001,South,Residential,27,60,Tuesday,0,0,1.06
2025-07-01 16:00:00,CUST_001,South,Residential,27.57,47,Tuesday,0,0,1.503
2025-07-01 17:00:00,CUST_001,South,Residential,27.03,46,Tuesday,0,0,1.956
2025-07-01 18:00:00,CUST_001,South,Residential,27.14,59,Tuesday,0,0,2.022
2025-07-01 19:00:00,CUST_001,South,Residential,21.63,72,Tuesday,0,0,2.458
2025-07-01 20:00:00,CUST_001,South,Residential,25.38,79,Tuesday,0,0,2.553
2025-07-01 21:00:00,CUST_001,South,Residential,24.59,56,Tuesday,0,0,2.345
2025-07-01 22:00:00,CUST_001,South,Residential,22.01,41,Tuesday,0,0,2.017
2025-07-01 23:00:00,CUST_001,South,Residential,23.28,48,Tuesday,0,0,1.586
